domain_dir,id,tier,short_title,journal_or_series,year,doi_or_url,authors_short,access_status,pipeline_mapping
01_density_and_population,chesley_2014_bennu_orbit_bulk_density,T1,"Chesley, Farnocchia, Nolan et al. (JPL/Arecibo), 'Orbit and Bulk Density of the OSIRIS-REx Target Asteroid (101955) Bennu' — Icarus 235:5-22, DOI 10.1016/j.icarus.2014.02.020 | arXiv:1402.5573v1 preprint hosted (accepted by Icarus Feb 19 2014)",Icarus,2014,https://doi.org/10.1016/j.icarus.2014.02.020,"Chesley, Farnocchia, Nolan et al.",full_text_hosted (arXiv:1402.5573v1 preprint; Icarus/Elsevier article page bot-blocks this machine),"Bennu mass/density anchor for environments.csv row '101955 Bennu' (mass_kg = 7.329e10, mean_radius_m = 244.5; implied bulk density ~1197 kg/m^3). Table 7 (p.56): rho = 1260 +/- 70 kg/m^3 (= 1.26 g/cm^3), M = (7.8+/-0.9)e10 kg, GM = 5.2+/-0.6 m^3/s^2, area-to-mass ratio 2.4e-6 m^2/kg — our mass sits INSIDE the paper's error bars (-0.8 sigma) and implied density is within ~6% of rho;method = optical astrometry 1999-2013 + radar delay (Arecibo) constraining Yarkovsky drift da/dt = (-19.0+/-0.1)e-4 au/Myr, combined with thermal-force modeling of the known shape; macroporosity 40 +/- 10% for likely analog meteorites. INDEPENDENT pre-mission check (2014) on our best-characterized body: our value agrees without any OSIRIS-REx data. Sibling row Ryugu still cites Watanabe et al. 2019 Science unregistered; Eros/Didymos/Ceres characterization papers likewise not yet pulled — open items for future rounds."
01_density_and_population,berthier_2023_ssodnet,T1,"Berthier, Carry, Mahlke & Normand (IMCCE/OCA), 'SsODNet: Solar system Open Database Network' — the service behind ssoBFT; bulk parquet parsed live this round",A&A 671:A151,2023,https://doi.org/10.1051/0004-6361/202244878 / arXiv:2209.10697v4,"Berthier, Carry, Mahlke & Normand (IMCCE/OCA)",full_text_hosted (arXiv v4 preprint; bulk ssoBFT parquet 855.8 MB hash-recorded — exceeds repo's ~36 MB max committed file),"Stage-1 data backbone for economicspace/AsteroidCatalog (citation required per service): best-of-literature diameter/albedo/mass/density/rotation/taxonomy cross-matched from ~3000 catalogs. Cross-check of all 5 environments.csv bodies: Eros mass EXACT; Ryugu +0.44σ, Didymos -0.12σ, Ceres to 4 sig figs — inside error bars; Bennu agrees absolute 0.02%. Carries per-body delta_v column (best total Δv to rendezvous) = future anchor candidate for spacecost approach rows"
01_density_and_population,mainzer_2019_neowise_v2,T3,"Mainzer et al., 'NEOWISE Diameters and Albedos V2.0' — PDS SBN release urn:nasa:pds:neowise_diameters_albedos::2.0 (citation required per dataset)",NASA Planetary Data System,2019,https://doi.org/10.26033/18S3-2Z54,"Mainzer, Bauer, Cutri, Grav, Kramer, Masiero, Sonnett & Wright",full_text_hosted (entire PDS bundle zip committed — all 7 data tables + docs; TAP table neowisesbpropv2 verified live this round),"Stage-1 diameter/albedo backbone for AsteroidCatalog fetch_neowise. Bundle row count cross-checked: 183,419 rows vs TAP live 183,412 (version drift). KEY FINDING: all 5 environments.csv headline bodies (Bennu/Ryugu/Eros/Didymos/Ceres) are ABSENT from every table — verified by zero-padded MPC designation; consistent with the dataset excluding bodies that have better radar/spacecraft/lightcurve determinations, so our target rows source diameter/albedo from ssoBFT+SBDB instead"
01_density_and_population,jpl_sbdb_small_body_database,T3,"NASA/JPL Small-Body Database (SBDB) — orbital + physical backbone queried live this round; per-object API intermittently 400s from this machine, full-table scan verified",JPL Solar System Dynamics,2026,https://ssd-api.jpl.nasa.gov/sbdb_query.api,NASA/JPL (SSD team),"open service (bulk full-table scan verified live R41, count=1,566,680; per-object endpoint RESOLVED R42 — ssd-api.jpl.nasa.gov/sbdb.api?sstr=<name> works live from this machine and was used to resolve the Bennu/Hermes identity anomaly in the ssoBFT delta_v mining; R41's 'per-object 400s' were a wrong parameter on the bulk-only sbdb_query.api, recorded then as observed)",Stage-1 orbital+physical backbone for AsteroidCatalog fetch_jpl: designations/elements/H/diameter/albedo/taxonomy + orbit-quality fields. Live sample this round: count=1566680 asteroids; Ceres D=939.4 km pV=0.090 H=3.34 -> our environments.csv radius 469730 m agrees to +0.01%
01_density_and_population,fowler_chillemi_1992_iras_mps_diameter_formula,T2,"Fowler & Chillemi, 'IRAS Asteroid Data Processing' (ch.4 of The IRAS Minor Planet Survey) — source of the D = 1329/sqrt(pV)*10^(-H/5) diameter formula used by AsteroidCatalog",NASA Tech Report PL-TR-92-2049,1992,https://ntrs.nasa.gov/citations/19940005152,Fowler & Chillemi (JPL),full_text_hosted (NTRS public-domain scan; ch.4 'IRAS Asteroid Data Processing' extracted as 28-page PDF — full report is 456 pp/23 MB),"Anchors the diameter-from-H formula in AsteroidCatalog: D_km = 1329/sqrt(pV)*10^(-H/5). The NTRS scan's OCR layer garbles the equation glyphs (exponent digits rendered as stray marks), so the constant was verified NUMERICALLY instead: fit C over n=149277 (H / pV / D) triples from ssoBFT -> implied-C p05/p50/p95 = 1328.4 / exactly 1329.0 / 1329.6 — airtight against ~149k real bodies; our C=1329 is the standard form"
01_density_and_population,demeo_2009_bus_taxonomy_near_ir,T1,"DeMeo, Binzel, Slivan & Bus, 'An extension of the Bus asteroid taxonomy into the near-infrared' — Icarus 202(1):160-180; DOI + bibliographic record verified via Crossref this round",Icarus,2009,https://doi.org/10.1016/j.icarus.2009.02.005,"DeMeo, Binzel, Slivan & Bus (MIT/Harvard)",open_not_pulled (Elsevier bot-blocks this machine; no arXiv preprint exists — verified via Crossref + OpenAlex both empty of full text; DOI 10.1016/j.icarus.2009.02.005 resolves),The class system keying BOTH anchors in this domain: carry2012's per-class density Table 3 and economicspace TAXONOMY_COMPOSITION are indexed by Bus-DeMeo types (S/Cgh/B/V/A/M/Xc/Cb/D/T/P...). Registering it closes the 'what do these letters mean' gap for every class row; PDS bundle urn:nasa:pds:ast.bus-demeo.taxonomy is the machine-readable companion
01_density_and_population,mp3c_minor_planet_physical_properties_catalogue,T3,MP3C — Minor Planet Physical Properties Catalogue (OCA) via DaCHS TAP service dachs.oca.eu/tap/sync; database version v3.2.0-beta.1 recorded per the service's own request,Observatoire de la Cote d'Azur / DAchS,2024,https://mp3c.oca.eu/doc/tap/ (TAP endpoint https://dachs.oca.eu/tap/sync),MP3C collaboration (OCA),"open service, verified live this round via the package's exact POST route (REQUEST=doQuery&LANG=ADQL — a first GET probe hit a different endpoint and returned the TAP info page; recorded): version table v3.2.0-beta.1 date_created 2024-02-13, mp3c_gen_db_revision 2acaa66e…; counts best=1,335,502 / name aliases=6,086,962; sample rows pulled for Eros/Bennu","Stage-1 supplementary backbone of AsteroidCatalog fetch_mp3c (best diameter/albedo/mass + proper elements; joined to primary designation via the body table — numbered bodies key through packed MPC aliases in name(priority=3), not a plain number column). Cross-check vs environments.csv: Eros M=6.69e15 kg vs our 6.687e15 (+0.04%, near-exact); Bennu D=0.492 km consistent with r=244.5 m"
01_density_and_population,mpc_mpcorb_extended_designation_links,T3,"IAU Minor Planet Center, mpcorb_extended.json.gz — designation links (Number/Name/Principal_desig/Other_desigs) used to resolve designations JPL's own columns cannot place",IAU Minor Planet Center,2026,https://minorplanetcenter.net/Extended_Files/mpcorb_extended.json.gz,IAU Minor Planet Center,"open service, verified live this round from this machine: HEAD status 200, 182 MB gzip (Last-Modified Wed 23 Sep 2026 — file of record updated continuously), streamed and first records parsed (Ceres: Principal_desig A801 AA + Other_desigs [A899 OF, 1943 XB]; Pallas likewise) — structure matches what the package expects",identity backbone of AsteroidCatalog fetch_mpcorb; per CITATIONS.md acknowledge the MPC as source of the designation links
01_density_and_population,bus_demeo_2020_pds_taxonomy_bundle,T3,"DeMeo, Binzel, Slivan & Bus (2020), 'Bus-DeMeo Asteroid Taxonomy V1.0' — PDS SBN release urn:nasa:pds:ast.bus-demeo.taxonomy::1.0; machine-readable companion to demeo_2009_bus_taxonomy_near_ir","NASA Planetary Data System, Small Bodies Node",2020,https://doi.org/10.26033/089p-c283 (PDS3 volume EAR-A-VARGBDET-5-BUSDEMEOTAX-V1_0 on sbnarchive.psi.edu),"DeMeo, Binzel, Slivan & Bus","full_text_hosted — all six files pulled live this round from sbnarchive.psi.edu (all HTTP 200; per-file sha256(16) in extracted_data/r42_bus_demeo_class_distribution.csv), committed as full_texts/bus_demeo_2020_pds_bundle.zip (sha256(16)=1cd838c3ec73cd4f); public-domain NASA data","Ground-truth class system for every TAXONOMY_COMPOSITION row: demeotax.tab parsed live — 371 classified bodies, base-class distribution exact-summed (S=144 … T=4; full table in the extracted CSV). Coverage = 24 of our 31 named types have ground-truth members (none for Sk/Sl or Tholen-only M/E/P/F/G); classdesc.asc carries per-class spectral descriptions + member counts from Table 5 of DeMeo et al. 2009 — the 'what do these letters mean' companion to demeo_2009_bus_taxonomy_near_ir; closes R41's open item 'Bus-DeMeo PDS bundle pull'"
02_composition_value,hein2020,T1,A Techno-Economic Analysis of Asteroid Mining (arXiv v11 = Acta 2020),Acta Astronautica 174:59-71 / arXiv:1810.03836,2020,https://doi.org/10.1016/j.actaastro.2019.05.009,Hein A.M.; Matheson R.; Fries D.,full_text_hosted (arXiv preprint; journal version paywalled),"end-to-end TEA calibration: Pt demand curve, water-vs-Pt market split, beneficiation cost structure; R61 deepening — Tables 1+2 full parameter sets extracted (water breakeven throughput 2.3e-4 kg/s/kg ~ +7158% vs our plant-row centre = DISCREPANCY recorded: his value is a BREAKEVEN requirement exceeding even the top of our band; Pt breakeven 0.35 kg/s/kg ~ 110,000x ours = viability threshold at 1e-5 grade); in-space water price assumption $20k/kg vs our $2.5k proxy recorded as value-side calibration point"
02_composition_value,nat_dms2023,T1,Metal extraction from asteroid proxies via deep eutectic solvents,Scientific Reports 13:6497 (CC-BY-4.0),2023,https://doi.org/10.1038/s41598-023-44152-0,(see paper),full_text_hosted,M/Xe metal_fraction row: 85% surface metal vs our 0.50; beneficiation feasibility
02_composition_value,asime2018,T2,ASIME 2018 White Paper — Asteroid Composition,arXiv:1904.11831 (conference white paper),2019,https://arxiv.org/abs/1904.11831,Graps A.; Abbud-Madrid A.; et al.,full_text_hosted,TAXONOMY_COMPOSITION reliability: water up to 22%; albedo<7.5% hydration guardrail
02_composition_value,lewicki2023,T2,Furthering Asteroid Resource Utilization (Decadal white paper),arXiv:2103.02435,2021,https://arxiv.org/abs/2103.02435,Lewicki C.; Graps A.; Elvis M.; Metzger P.; Rivkin A.,full_text_hosted,valuation framework: knowledge-confidence discount concept for Module 2
02_composition_value,cannon2023,T1,Precious and structural metals on asteroids,Planetary and Space Science 215 (CC-BY-NC-ND OA),2023,https://doi.org/10.1016/j.pss.2022.105608,Cannon K.M.; Gialich M.; Acain J.,skipped (user decision 2026-09-17): OA but CC-BY-NC-ND; not committed to public repo — metadata + abstract only,per-class recoverable-metal benchmark — the external check on our commodity valuations
02_composition_value,usgs_pp1802n,T3,Platinum-group elements — USGS Prof. Paper 1802-N (extraterrestrial abundance section),USGS Professional Paper 1802-N,2017,https://doi.org/10.3133/pp1802N,"Zientek, Loferski, Parks, Schulte & Seal",public_domain_excerpt_hosted (full PDF too large; cited by DOI+section),anchors the ENTIRE PGM_ENRICHMENT_BY_TYPE gradient: iron-meteorite 2.4-16 ppm Pt -> M/Xe=2.0x; mantle 2-5 ppb -> A/R/O=0.5x; basaltic crust 0.5 ppb -> V=0.2x
02_composition_value,toplis2014,T2,Bulk composition of Vesta from Dawn + HED meteorites (NTRS),LPSC abstract / NASA NTRS 20140005771,2014,https://ntrs.nasa.gov/api/citations/20140005771,"Toplis, Mizzon, Forni et al.",full_text_hosted (public domain),Vesta core 90-120 km metal+sulphide: physical basis for V-row differentiation + X-complex model; HED=parent-body-fragment premise
02_composition_value,bennu_volatiles_2025,T1,Abundant ammonia and nitrogen-rich soluble organic matter in samples from asteroid (101955) Bennu,Nature Astronomy 9:199-210 (CC-BY-4.0),2025,https://doi.org/10.1038/s41550-024-02472-9,Bennu sample analysis team (GSFC et al.) — see paper for full author list,"full_text_hosted (verified live: nature.com direct PDF, 8.4 MB)","MEASURED volatile inventory of a real B-type: total C 4.5-4.7 wt%, N 0.23-0.25 wt%, ammonia ~40% of N; head-to-head vs Ryugu + CI-CY chondrites — flags carbon_fraction rows as possibly low (commodity-extractable fraction decision needed)"
02_composition_value,ryugu_hydrated_2023,T1,A dehydrated space-weathered skin cloaking the hydrated interior of Ryugu,Nature Astronomy 7:170-181 (CC-BY-4.0),2023,https://doi.org/10.1038/s41550-022-01841-6,Ryugu sample analysis team — see paper for full author list,"full_text_hosted (verified live: nature.com direct PDF, 7.2 MB)","C-type hydration MEASURED on returned samples: dehydrated skin over hydrated interior; ~66% of grains weathered, dehydration >=1.5 um deep — names the systematic bias in spectral-based ice_fraction estimates for C-types (biased LOW)"
02_composition_value,ryugu_soluble_organics_2023,T1,Soluble organic molecules in samples of the carbonaceous asteroid (162173) Ryugu,Science (OA; HAL mirrors bot-block this machine),2023,https://doi.org/10.1126/science.abn9033,Ryugu sample analysis team — see paper for full author list,open_not_pulled (Anubis challenge on hal.science + cnrs.hal.science; abstract recorded via OpenAlex),"C-type organic inventory companion to bennu_volatiles_2025: CHNOS molecules, amino acids, PAHs, N-heterocycles — abiotic origin; brackets what carbon_fraction means for C-types"
02_composition_value,ryugu_macromolecular_om_2023,T1,Macromolecular organic matter in samples of the asteroid (162173) Ryugu,Science (OA; CNRS HAL mirror bot-blocks this machine),2023,https://doi.org/10.1126/science.abn9057,Ryugu sample analysis team — see paper for full author list,open_not_pulled (Anubis challenge on cnrs.hal.science; abstract recorded via OpenAlex),confirms Ryugu organic carbon is aqueously altered (nanoglobules + diffuse C with phyllosilicates/carbonates) — sample-level support for ice_fraction > 0 on every C-complex row
02_composition_value,glavin_2018,T2,"Glavin, Alexander, Aponte, Dworkin, Elsila & Yabuta, ""The Origin and Evolution of Organic Matter in Carbonaceous Chondrites and Links to Their Parent Bodies"" (NASA chapter; NTRS 20180004493)",peer-reviewed NASA-published chapter; public domain,2018,https://ntrs.nasa.gov/api/citations/20180004493/downloads/20180004493.pdf (NTRS API + PDF verified live from this machine),"Glavin, D.P.; Alexander, C.M.O.D.; Aponte, J.C.; Dworkin, J.P.; Elsila, J.E.; Yabuta, H.",full_text_hosted (public domain; 67 pp),"**the per-class carbon anchor for `carbon_fraction` rows**: measured range ~0.1 wt% (CK) to ~5 wt% (CI) — our B/C-complex defaults of 22-30% are 4-6x above the most carbon-rich real C-type, so those fractions encode a broader 'carbon-bearing material' definition than bulk elemental carbon; also carries the per-class hydration mineralogy table (serpentine/saponite/smectite across CI/CM/CR) that is what `ice_fraction` actually measures for these types"
02_composition_value,ryugu_ivuna_2023,T1,"Yokoyama, Nagashima, Nakai et al., ""Samples returned from the asteroid Ryugu are similar to Ivuna-type carbonaceous meteorites"" — Science 379(6634):786 (DOI 10.1126/science.abn7850)","peer-reviewed journal; author's version only in institutional repository (AAAS permission = personal use, NOT for redistribution) -> recorded with metadata + key findings, not hosted",2023,https://doi.org/10.1126/science.abn7850 (full text verified live from this machine via Hokudai HUSCAP author copy; Science direct route bot-blocked as usual),"Yokoyama, T.; Nagashima, K.; Nakai, I. et al.",open_not_pulled (author-version-only license — hosting would violate the stated rights; metadata + abstract-level findings recorded from the verified text),**the C/CI endmember of our hydrated range**: Ryugu = Ivuna-type CI1; structural water similar to CI chondrites BUT interlayer/free water largely absent (lost to space) -> any `ice_fraction` priced at the in-space water proxy overstates what is extractable from a C-complex body without structural-water liberation processing; pairs with bennu_volatiles_2025 (B endmember) so both ends of our volatile range now rest on returned samples
02_composition_value,mandler_elkins_tanton_2013,T1,"Mandler & Elkins-Tanton, 'The origin of eucrites, diogenites, and olivine diogenites: Magma ocean crystallization and shallow magma chamber processes on Vesta'",Meteoritics & Planetary Science 48(6):1259-1273,2013,https://doi.org/10.1111/maps.12135,"Mandler, Elkins-Tanton",open_not_pulled (CC-BY per OpenAlex but Wiley bot-blocks this machine; no accessible copy found),"Differentiation anchor for PGM_ENRICHMENT_BY_TYPE: best-fit model = ~60-70% equilibrium crystallization of Vesta's magma ocean + continuous extraction of residual melt into shallow chambers; predicts metallic core / mantle (dunites, harzburgites, diogenites) / basaltic crust (eucrites). Eucrites are late-stage residual melts from a body whose metal segregated into the core => their HSE/PGM budget is depleted vs primitive chondritic material by exactly that process; underwrites V=0.2 (crust), A/R/O=0.5 (mantle cumulates) and M/Xk=1.5-2.0 (metallic core). With usgs_pp1802n this makes the whole gradient defensible: USGS = measured Pt numbers, this paper = mechanism."
02_composition_value,farnocchia_2024,T1,"Farnocchia, Fuentes-Munoz, Park, Baer & Chesley (JPL), 'Mass, Density, and Radius of Asteroid 16 Psyche from High-precision Astrometry' — Astronomical Journal 168:57, DOI 10.3847/1538-3881/ad50ca | CC-BY but no accessible PDF route (IOP bot-blocks; DOAJ record has no link)",Astron J,2024,https://doi.org/10.3847/1538-3881/ad50ca,"Farnocchia, Fuentes-Munoz, Park, Baer, Chesley",open_not_pulled (CC-BY per OpenAlex/DOAJ; IOP pdfdirect 403 from this machine — tested live),"Second independent M-type density: GM = 1.601 +/- 0.017 km^3/s^2 via least-squares fit of astrometry (incl. Gaia FPR) on asteroids passing within 0.05 au; volume from occultations/radar => bulk density 4172 +/- 145 kg/m^3 = 4.17 g/cm^3, compatible with M-type. Pairs with siltala_granvik_2021 (3.88): our M-row 3.90 sits at the LOW end of the independent range — defensible but worth re-checking if Psyche mission data revises either."
02_composition_value,elkins_tanton_2020_psyche_preflight,T1,"Elkins-Tanton et al. (NASA/JPL + university consortium), 'Observations, Meteorites, and Models: A Pre-flight Assessment of the Composition and Formation of (16) Psyche' — full preflight composition review: bulk-density constraint chain, metal/silicate/porosity scenarios, meteorite-analog density table",Journal of Geophysical Research: Planets 125:e2019JE006296 (received 3 Dec 2019; published 2020),2020,https://doi.org/10.1029/2019JE006296,"Elkins-Tanton, Asphaug, Bell III, Bercovici, Bills, Binzel, Bottke, Dibb, Lawrence, Marchi, McCoy, Oran, Park, Peplowski, Polanskey, Prettyman, Russell, Schaefer, Weiss, Wieczorek, Williams, Zuber","open_not_pulled — CC-BY-NC license (verified in PDF front matter) + AGU landing page 403s this machine; analyzed from the author mirror https://benweiss.mit.edu/s/Elkins-Tanton_2020_JGR.pdf (HTTP 200, 4.4 MB, verified live this round); NTRS search returned no index entry","THE paper catalog.py's M-row already cites ('metal content is now put at roughly 30-60% ... Elkins-Tanton et al. 2020') but which was never registered here — closes that citation gap. VERIFIED from full text: p10 (Sec 2.5) predicts Psyche 'between ~25 vol% metal and ~60 vol% metal' with Point D = ~25 vol% metal + ~55 vol% magnesian pyroxene + ~20% porosity; our M-row mass fractions (metal 0.50 / silicate 0.45) convert to roughly 30-35 vol% metal at rho_metal~7.8 vs rho_sil~3.6 g/cm^3 — INSIDE the peer-reviewed band, row AGREEs; NOTE catalog.py paraphrases '30-60%' but the paper's verbatim band is ~25-60 vol%. Also anchors: surface endmembers 90 wt.% metal/10 wt.% opx (Hardersen) to pure-metal powder (Fornasier), p9; retained silicate veneer scenario 25-80 km, p13; meteorite-analog density table iron 7,000-8,000 / pallasite 4,100-7,800 / mesosiderite 3,100-7,200 kg/m^3 vs Psyche ~4,000 (range 3,400-4,100), p10 — the density argument that rules out a solid-metal M-type; CB chondrites ~60 vol% metal with skeletal olivine Fa2-4 + cryptocrystalline pyroxene Fs2, pp11-12 (high-metal carbonaceous endmember relevant to Xc/Cb rows)"
02_composition_value,reddy_asteroids_iv_mineralogy,T1,"Reddy, Dunn, Thomas, Moskovitz & Burbine, 'Mineralogy and Surface Composition of Asteroids' — the definitive review chapter: temperature/phase-angle/grain-size corrections + all mafic-silicate composition calibrations (HED, ordinary chondrites, olivine-rich) with meteorite-analog validation","Asteroids IV (Michel, DeMeo & Bottke eds.), University of Arizona Press Space Science Series, pp. 43-63; book DOI 10.2458/azu_uapress_9780816532131 (published Dec 2015)",2015,"https://doi.org/10.2458/azu_uapress_9780816532131 (chapter); hosted copy = arXiv:1502.05008v1 author preprint ('Chapter to appear in the Space Science Series Book: Asteroids IV, 51 pages')","Reddy V., Dunn T.L., Thomas C.A., Moskovitz N.A., Burbine T.H.","full_text_hosted — arXiv:1502.05008v1 (51 pp) downloaded via export.arxiv.org mirror + text-extracted on this machine; abs-page metadata verified live this round (title, 5 authors); book itself paywalled at UAPress","FIRST per-type MATERIAL anchor for TAXONOMY_COMPOSITION's minerals lists and mafic ratios: A-types = monomineralic olivine Fo85-93 calibration (RMS 5 mol%), p8 — anchors our A-row mineral list [olivine] + metal_fraction=0.05; R chondrites carry 65-78% olivine by volume, higher than ordinary chondrites, p9 — anchor for the A/R silicate-dominant rows (our A/R: silicate 0.90); HED/V-type pyroxene range Fs23-56 / Wo2-14 with Burbine et al. 2007 calibrations accurate to within 3 mol% Fs and 1 mol% Wo, p7 — anchor for V-row minerals [pyroxene, plagioclase, olivine]; S/Q = ordinary-chondrite analogs via Dunn et al. 2010b Fa/Fs calibrations (<2 mol% error from ~50 measured OC powders), pp7-9 — anchor for S-row minerals [olivine, pyroxene, nickel-iron]. GROUND TRUTH: Itokawa = LL chondrite (Hayabusa samples; Shkuratov model ol/(ol+low-Ca pyx) = 76%, Fig.5 caption p26); Eros plots in the L/LL chondrite region with identical Fs/Fa from NEAR NIS + ground-based spectra, Fig.6 captions pp26-27 — validates 'S/Q rows are ordinary-chondrite analogs' framing; A/S/Q/V meteorite analogs = 91% of the terrestrial meteorite collection, p8 (context: our table is anchored where most ground truth exists)"
