source_id,quantity,mission,value_lb,value_kg,page,extraction_note
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 13,18434.5,8361.7,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 14,18417.2,8353.9,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 15,19561.5,8872.9,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 16,19559.3,8871.9,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 17,19564.2,8874.2,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 9,10651.0,4831.2,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 10,765.0,347.0,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 11,17414.0,7898.9,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 12,17254.0,7826.3,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 13,8342.9,3784.3,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 14,17623.2,7993.7,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 15,18373.3,8334.0,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 16,18327.3,8313.1,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM descent stage propellant CONSUMED total,Apollo 17,18248.9,8277.6,p305,word-coordinate layer (OCR text layer drops A11–A17 of this row); reconciles exactly: loaded − consumed = remaining-at-cutoff total for every mission
sp4029_apollo_by_the_numbers,LM ascent stage propellant LOADED total (fuel+ox),Apollo 9,4150.0,1882.4,p306,"'LM Ascent Stage Propellant Status' table, Loaded/Total row; header lists exactly 8 missions (A13 omitted — aborted before ascent), positional mapping"
sp4029_apollo_by_the_numbers,LM ascent stage propellant LOADED total (fuel+ox),Apollo 10,2631.0,1193.4,p306,"'LM Ascent Stage Propellant Status' table, Loaded/Total row; header lists exactly 8 missions (A13 omitted — aborted before ascent), positional mapping"
sp4029_apollo_by_the_numbers,LM ascent stage propellant LOADED total (fuel+ox),Apollo 11,5238.0,2375.9,p306,"'LM Ascent Stage Propellant Status' table, Loaded/Total row; header lists exactly 8 missions (A13 omitted — aborted before ascent), positional mapping"
sp4029_apollo_by_the_numbers,LM ascent stage propellant LOADED total (fuel+ox),Apollo 12,5236.0,2375.0,p306,"'LM Ascent Stage Propellant Status' table, Loaded/Total row; header lists exactly 8 missions (A13 omitted — aborted before ascent), positional mapping"
sp4029_apollo_by_the_numbers,LM ascent stage propellant LOADED total (fuel+ox),Apollo 14,5225.2,2370.1,p306,"'LM Ascent Stage Propellant Status' table, Loaded/Total row; header lists exactly 8 missions (A13 omitted — aborted before ascent), positional mapping"
sp4029_apollo_by_the_numbers,LM ascent stage propellant LOADED total (fuel+ox),Apollo 15,5237.0,2375.5,p306,"'LM Ascent Stage Propellant Status' table, Loaded/Total row; header lists exactly 8 missions (A13 omitted — aborted before ascent), positional mapping"
sp4029_apollo_by_the_numbers,LM ascent stage propellant LOADED total (fuel+ox),Apollo 16,5242.5,2378.0,p306,"'LM Ascent Stage Propellant Status' table, Loaded/Total row; header lists exactly 8 missions (A13 omitted — aborted before ascent), positional mapping"
sp4029_apollo_by_the_numbers,LM ascent stage propellant LOADED total (fuel+ox),Apollo 17,5261.7,2386.7,p306,"'LM Ascent Stage Propellant Status' table, Loaded/Total row; header lists exactly 8 missions (A13 omitted — aborted before ascent), positional mapping"
