source_id,item,value,unit,location_in_source,notes
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2030 — TMI (aerocapture-MOI case),3.622,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2030 — TMI (propulsive-MOI case),3.725,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2030 — MOI (propulsive capture),1.348,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2033 — TMI (aerocapture-MOI case),3.588,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2033 — TMI (propulsive-MOI case),3.652,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2033 — MOI (propulsive capture),1.258,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2035 — TMI (aerocapture-MOI case),3.712,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2035 — TMI (propulsive-MOI case),3.712,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2035 — MOI (propulsive capture),0.893,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2037 — TMI (aerocapture-MOI case),3.923,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2037 — TMI (propulsive-MOI case),4.013,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2037 — MOI (propulsive capture),0.953,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2039 — TMI (aerocapture-MOI case),3.803,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2039 — TMI (propulsive-MOI case),3.815,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2039 — MOI (propulsive capture),0.815,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2041 — TMI (aerocapture-MOI case),3.682,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2041 — TMI (propulsive-MOI case),3.682,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2041 — MOI (propulsive capture),0.815,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2043 — TMI (aerocapture-MOI case),3.652,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2043 — TMI (propulsive-MOI case),3.545,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2043 — MOI (propulsive capture),0.970,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2045 — TMI (aerocapture-MOI case),3.635,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2045 — TMI (propulsive-MOI case),3.695,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2045 — MOI (propulsive capture),1.240,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Crew panel per-year TOTALS (TMI+MOI+TEI),6.27 to 7.38; mean 7.17,km/s,p.37 Fig 4-2 derived from extracted bars vs p.62 text 'approximately 7 km/s ± 1 km/s',SELF-CHECK of the vector extraction: totals fall inside DRA's own stated total-level band — validates the bar reading
dra5_2009_human_exploration_of_mars,Crew TEI constant across all years,1.563,km/s,p.37 Fig 4-2,"expected for a fixed return architecture (TEI set by Mars-departure energy choice, not arrival date); TMI dips in 2031/2035 match p36 text 'maximum allowed Earth departure V∞ ... exceeded' — second internal consistency check"
qu_merrill_chai_aas19_225_hybrid_mars_e2e_optimization,"Table 3: MOI closure vs E2E (2035 mission, low-inclination orbital)",121.31 / 122.04,m/s,p8 Table 3 verbatim text layer,peer-reviewed per-burn value for a MODERN hybrid architecture: MOI is small because SEP does the heliocentric leg; NOT directly comparable to spacecost's pure-chemical Hohmann MOI (different mission design) — use as context anchor only
qu_merrill_chai_aas19_225_hybrid_mars_e2e_optimization,Table 3: TEI closure vs E2E (2035),121.37 / 127.21,m/s,p8 Table 3 verbatim text layer,same caveat as MOI row
qu_merrill_chai_aas19_225_hybrid_mars_e2e_optimization,Table 3: Outbound SEP total ΔV closure vs E2E (2035),3624.05 / 3615.80,m/s,p8 Table 3 + p7 text 'total outbound ∆V performed by the SEP system is 3615 m/s',SEP does ~95% of heliocentric ΔV in this architecture; supports economicspace's future low-thrust transit modeling
qu_merrill_chai_aas19_225_hybrid_mars_e2e_optimization,"Table 4: Mars orbit reorientation 'apotwist' via SEP, 2039 mission at 50° latitude",135.27 / 127.11,m/s,p9 Table 4 verbatim text layer,plane-change cost for high-latitude landing sites (63°→50° parking orbit over 11 revs of ~1-day SEP burns); quantifies the reorientation component that spacecost's MOI/TEI rows do not carry separately
qu_merrill_chai_aas19_225_hybrid_mars_e2e_optimization,Table 4: MOI + TEI for 2039 high-latitude case,MOI 367.72 / 368.16; TEI 279.35 / 281.16,m/s,p9 Table 4 verbatim text layer,high-inclination capture/escape costs ~3× the low-latitude case (122→368 m/s MOI) — documents latitude-driven Δv penalty at peer-reviewed precision
qu_merrill_chai_aas19_225_hybrid_mars_e2e_optimization,Earth departure C3 via LGA + WSB transfer,C3 = 2 km^2/s^2 (V∞ ≈ 1.41 km/s); WSB ΔV actual 145.56 m/s out / 54.30 in vs 75 m/s budgeted,km^2/s^2; m/s,p3-p8 text + Table 3 verbatim,the V∞>2 km/s direct-burn threshold (registered R35) plus the actual WSB transfer costs behind it
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Fig 8 chemical ΔV at landing-site latitude ~+49°,"total 0.566; segments: MOI 0.399, Reorient 0.088, TEI 0.079",km/s,"p10 Fig 8 / p12 Fig 10, vector-extracted bar geometry (axis calibration from tick labels)",hybrid architecture: TMI chemical ≈ 0 (SEP + LGA do Earth departure); MOI dominates the Mars-side budget; Reorient grows with |latitude| and vanishes near equator — peer-reviewed quantification of landing-site accessibility cost
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Fig 8 chemical ΔV at landing-site latitude ~+29°,"total 0.439; segments: MOI 0.315, Reorient 0.045, TEI 0.080",km/s,"p10 Fig 8 / p12 Fig 10, vector-extracted bar geometry (axis calibration from tick labels)",hybrid architecture: TMI chemical ≈ 0 (SEP + LGA do Earth departure); MOI dominates the Mars-side budget; Reorient grows with |latitude| and vanishes near equator — peer-reviewed quantification of landing-site accessibility cost
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Fig 8 chemical ΔV at landing-site latitude ~+9°,"total 0.338; segments: MOI 0.250, Reorient 0.004, TEI 0.084",km/s,"p10 Fig 8 / p12 Fig 10, vector-extracted bar geometry (axis calibration from tick labels)",hybrid architecture: TMI chemical ≈ 0 (SEP + LGA do Earth departure); MOI dominates the Mars-side budget; Reorient grows with |latitude| and vanishes near equator — peer-reviewed quantification of landing-site accessibility cost
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Fig 8 chemical ΔV at landing-site latitude ~-11°,"total 0.297; segments: MOI 0.207, TEI 0.090",km/s,"p10 Fig 8 / p12 Fig 10, vector-extracted bar geometry (axis calibration from tick labels)",hybrid architecture: TMI chemical ≈ 0 (SEP + LGA do Earth departure); MOI dominates the Mars-side budget; Reorient grows with |latitude| and vanishes near equator — peer-reviewed quantification of landing-site accessibility cost
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Fig 10 chemical ΔV at landing-site latitude ~+29°,"total 0.618; segments: MOI 0.325, Reorient 0.080, TEI 0.213",km/s,"p10 Fig 8 / p12 Fig 10, vector-extracted bar geometry (axis calibration from tick labels)",hybrid architecture: TMI chemical ≈ 0 (SEP + LGA do Earth departure); MOI dominates the Mars-side budget; Reorient grows with |latitude| and vanishes near equator — peer-reviewed quantification of landing-site accessibility cost
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Fig 10 chemical ΔV at landing-site latitude ~+9°,"total 0.562; segments: EOI 0.003, MOI 0.303, Reorient 0.035, TEI 0.221",km/s,"p10 Fig 8 / p12 Fig 10, vector-extracted bar geometry (axis calibration from tick labels)",hybrid architecture: TMI chemical ≈ 0 (SEP + LGA do Earth departure); MOI dominates the Mars-side budget; Reorient grows with |latitude| and vanishes near equator — peer-reviewed quantification of landing-site accessibility cost
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Fig 10 chemical ΔV at landing-site latitude ~-11°,"total 0.500; segments: MOI 0.272, TEI 0.225",km/s,"p10 Fig 8 / p12 Fig 10, vector-extracted bar geometry (axis calibration from tick labels)",hybrid architecture: TMI chemical ≈ 0 (SEP + LGA do Earth departure); MOI dominates the Mars-side budget; Reorient grows with |latitude| and vanishes near equator — peer-reviewed quantification of landing-site accessibility cost
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Hybrid vehicle total propellant tank capacity (SEP + chemical),58,t,p.13 body text re Fig 11 verbatim,"'even though the maximum capacity of the Hybrid vehicle's propellant tanks (between both SEP and chemical) is 58t, no solutions required that cumulative limit' — sizing context for any economicspace SEP-vehicle mass model"
chai_merrill_pfrang_qu_aas19_226_landing_site_accessibility,Table 1: HPS age / array degradation assumptions,0% / 7.5% / 15% degradation; power at TMI 675 / 624 / 574 kW for 0/5/10-year vehicle age,%; kW,p.13 Table 1 verbatim text layer,quantifies the spacecraft-age penalty that drives propellant-demand growth in Figs 9/11/13 — needed if economicspace ever models reused HPS-class vehicles
qu_merrill_chai_aas19_225_hybrid_mars_e2e_optimization,Table 1: MSCT Mars campaign schedule,"crew ED dates 05/22/2035, 08/05/2039, 10/18/2043, 01/27/2048; cargo ED 06/01/2037 … 01/27/2048",dates,p.3 Table 1 verbatim text layer,the mission timeline our TMI row's 'swings across the synodic cycle' framing refers to; cargo leads crew by ~2 years in every pair
dra5_2009_human_exploration_of_mars,MOI 'arrival v∞ = 2.65 km/s' (spacecost delta_v_segments.csv line 29 note cites DRA 5.0),NOT PRESENT in source,-,"full-document text search of SP-2009-566: '2.65' occurs only as thousands separator ('2,650'); V∞ discussed qualitatively at p36 with no numeric Mars-arrival value anywhere in the extractable layer","VERIFIED NEGATIVE — the number is physically correct (two-body Hohmann Earth→Mars gives 2.6489 km/s; MOI into 250×33,793 km orbit = 0.918 km/s ≈ row's 0.9) but MISATTRIBUTED to DRA 5.0: it is a first-principles value the note computed itself. Correction candidate for spacecost (read-only here): reword citation from 'NASA DRA 5.0' to two-body Hohmann derivation; DRA Fig 4-2 now provides the per-burn context (MOI 0.97–1.79 km/s across 2031–2046)"
